Name,IP/Subnet,StartIP,EndIP,ip2longStart,ip2longStop
SERVER Farm,10.0.0.0/24,10.0.0.0,10.0.0.255,167772160,167772415
SOC Private IP,10.3.0.0/16 ,10.3.0.0,10.3.255.255,167968768,168034303
SCI Private IP,10.4.0.0/16,10.4.0.0,10.4.255.255,168034304,168099839
Secondary,10.8.8.0/24,10.8.8.0,10.8.8.255,168298496,168298751
DIR Private IP,10.9.0.0/16,10.9.0.0,10.9.255.255,168361984,168427519
ENG Private IP,10.10.0.0/16,10.10.0.0,10.10.255.255,168427520,168493055
GRAD private IP,10.15.0.0/16,10.15.0.0,10.15.255.255,168755200,168820735
RSOC Private IP,10.16.0.0/16,10.16.0.0,10.16.255.255,168820736,168886271
DENT Private IP,10.20.0.0/16,10.20.0.0,10.20.255.255,169082880,169148415
ARCH Private IP,10.24.0.0/16,10.24.0.0,10.24.255.255,169345024,169410559
Subnet for D. Gent SCMC,10.29.0.0/16,10.29.0.0,10.29.255.255,169672704,169738239
Subnet for D. Lady SCMC,10.30.0.0/16,10.30.0.0,10.30.255.255,169738240,169803775
ARTCULT Private IP,10.36.0.0/16,10.36.0.0,10.36.255.255,170131456,170196991
EQD Private IP,10.39.0.0/16,10.39.0.0,10.39.255.255,170328064,170393599
CAMT Private IP,10.41.0.0/16,10.41.0.0,10.41.255.255,170459136,170524671
Subnet for C. Sriphat,10.54.0.0/16,10.54.0.0,10.54.255.255,171311104,171376639
SCMC Private IP (static),10.55.0.0/16,10.55.0.0,10.55.255.255,171376640,171442175
Subnet for Campus Lamphun,10.56.0.0/16,10.56.0.0,10.56.255.255,171442176,171507711
SCMC IP Camera COM,10.57.0.0/16,10.57.0.0,10.57.255.255,171507712,171573247
Wireless Services,10.71.0.0/16,10.71.0.0,10.71.255.255,172425216,172490751
Subnet for AP JumboPlus Mgmt,10.76.0.0/16,10.76.0.0,10.76.255.255,172752896,172818431
Jumbo wifi(out date),10.80.0.0/16,10.80.0.0,10.80.255.255,173015040,173080575
Jumbo wifi 2.4 GHz,10.81.0.0/16,10.81.0.0,10.81.255.255,173080576,173146111
Jumbo IOT,10.82.0.0/16,10.82.0.0,10.82.255.255,173146112,173211647
Jumbo wifi 5  GHz,10.83.0.0/16,10.83.0.0,10.83.255.255,173211648,173277183
SERVER mgnt,10.90.7.0/24,10.90.7.0,10.90.7.255,173672192,173672447
SCMC Cloud,10.90.9.0/24,10.90.9.0,10.90.9.255,173672704,173672959
DR-SITE Nutanix,10.91.7.0/24,10.91.7.0,10.91.7.255,173737728,173737983
VPS,10.98.5.0/24,10.98.5.0,10.98.5.255,174195968,174196223
HPC Research,10.98.6.0/24,10.98.6.0,10.98.6.255,174196224,174196479
VDI,10.99.0.0/16,10.99.0.0,10.99.255.255,174260224,174325759
Private Cloud,10.110.0.0/16,10.110.0.0,10.110.255.255,174981120,175046655
not descript,10.112.0.0/12,10.112.0.0,10.127.255.255,175112192,176160767
Subnet for Fac. MED,10.128.0.0/16,10.128.0.0,10.128.255.255,176160768,176226303
Subnet for Fac. NURSE,10.129.0.0/16,10.129.0.0,10.129.255.255,176226304,176291839
Subnet for Fac. AMS,10.130.0.0/16,10.130.0.0,10.130.255.255,176291840,176357375
Subnet for Fac. DENT,10.131.0.0/16,10.131.0.0,10.131.255.255,176357376,176422911
Subnet for Fac. PHAR,10.132.0.0/16,10.132.0.0,10.132.255.255,176422912,176488447
Subnet for Ins. RIHES,10.133.0.0/16,10.133.0.0,10.133.255.255,176488448,176553983
Subnet for D. Suandok,10.134.0.0/16,10.134.0.0,10.134.255.255,176553984,176619519
Subnet for GHALL,10.135.0.0/16,10.135.0.0,10.135.255.255,176619520,176685055
Subnet for ICDI,10.136.0.0/16,10.136.0.0,10.136.255.255,176685056,176750591
Subnet for C. UNISERV,10.137.0.0/16,10.137.0.0,10.137.255.255,176750592,176816127
subnet for Building MED Zone,10.142.0.0/16,10.142.0.0,10.142.255.255,177078272,177143807
subnet for Building MED Zone 2,10.143.0.0/16,10.143.0.0,10.143.255.255,177143808,177209343
